year_month,category,island,value
2024-07,TOTAL EXPENDITURES ($ MILLION),molokai,2.6972479775835128
2024-07,TOTAL EXPENDITURES ($ MILLION),oahu,932.1199312872373
2024-07,TOTAL VISITOR DAYS,hawaii island,1239574.0425332254
2024-07,TOTAL VISITOR DAYS,kauai,1019240.7505157795
2024-07,TOTAL VISITOR DAYS,lanai,14946.270005757273
2024-07,TOTAL VISITOR DAYS,maui,1798050.8320342037
2024-07,TOTAL VISITOR DAYS,molokai,14695.481862364046
2024-07,TOTAL VISITOR DAYS,oahu,3973778.6742809666
2024-07,VISITOR ARRIVALS,hawaii island,168679.99295746503
2024-07,VISITOR ARRIVALS,kauai,135740.16390283275
2024-07,VISITOR ARRIVALS,lanai,4003.1314298583725
2024-07,VISITOR ARRIVALS,maui,236244.9988365125
2024-07,VISITOR ARRIVALS,molokai,3229.951936524169
2024-07,VISITOR ARRIVALS,oahu,552657.4816697335
2024-08,AVERAGE DAILY CENSUS,hawaii island,33168.449827410084
2024-08,AVERAGE DAILY CENSUS,kauai,27418.724207843552
2024-08,AVERAGE DAILY CENSUS,lanai,454.07792307954384
2024-08,AVERAGE DAILY CENSUS,maui,47148.98191699581
2024-08,AVERAGE DAILY CENSUS,molokai,243.07819293666466
2024-08,AVERAGE DAILY CENSUS,oahu,115875.70552043257
2024-08,AVERAGE LENGTH OF STAY,hawaii island,7.037611259596047
2024-08,AVERAGE LENGTH OF STAY,kauai,7.0534969631705575
2024-08,AVERAGE LENGTH OF STAY,lanai,3.3574341604931903
2024-08,AVERAGE LENGTH OF STAY,maui,7.286288991751025
2024-08,AVERAGE LENGTH OF STAY,molokai,3.6969980036468755
2024-08,AVERAGE LENGTH OF STAY,oahu,6.929021680435568
2024-08,PER PERSON PER DAY SPENDING ($),hawaii island,207.6567288345036
2024-08,PER PERSON PER DAY SPENDING ($),kauai,240.78878950409032
2024-08,PER PERSON PER DAY SPENDING ($),lanai,518.3279122121435
2024-08,PER PERSON PER DAY SPENDING ($),maui,239.51250695719332
